file,category,last_commit_date,references_count,suggested_action
_render_cable_overlay.py,one-off-scratch,2026-05-09,0,move-to-experiments
_render_kpp_legend.py,one-off-scratch,2026-05-09,0,move-to-experiments
_render_kpp_with_bboxes.py,one-off-scratch,2026-05-09,0,move-to-experiments
_run_pipeline.py,one-off-scratch,2026-04-17,0,move-to-experiments
_shape_curated_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_shape_fingerprints_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_shape_templates_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_shape_templates_legend_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_sweep_accuracy_lighting.py,one-off-scratch,2026-05-09,0,move-to-experiments
_sweep_legend_aware.py,one-off-scratch,2026-05-09,0,move-to-experiments
_sweep_legend_strict.py,one-off-scratch,2026-05-09,0,move-to-experiments
_switch_circles_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_switch_legend_templates_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_t072_sklad27_test.docx,orphan-output,2026-04-04,0,gitignore
_t121_extract_gpk3_reference.py,one-off-scratch,untracked,0,move-to-experiments
_test_annotations.py,one-off-scratch,2026-05-09,0,move-to-experiments
_test_annotations2.py,one-off-scratch,2026-05-09,0,move-to-experiments
_test_elevation.py,one-off-scratch,2026-05-09,0,move-to-experiments
_test_gpk_pvc.docx,orphan-output,2026-04-03,0,gitignore
_test_gpk_z3.docx,orphan-output,2026-04-14,0,gitignore
_test_height.py,one-off-scratch,2026-05-09,0,move-to-experiments
_test_pvc_debug.docx,orphan-output,2026-04-04,0,gitignore
_view_horiz_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
analyze_comparison.py,one-off-scratch,untracked,0,move-to-experiments
analyze_vor_details.py,production,2026-04-17,0,keep
analyze_vor_patterns.py,production,2026-04-17,0,keep
baseline_after_quick_wins.json,orphan-output,2026-04-22,0,gitignore
batch_equipment.py,production,2026-04-17,3,keep
batch_processor.py,production,2026-04-17,0,keep
compare_cables_vor.py,production,2026-05-09,0,keep
diagnose_legend.py,production,2026-04-17,0,keep
diagnose_legend_report.json,orphan-output,2026-04-17,0,gitignore
dump_all_text.py,production,2026-04-17,0,keep
dump_table_mtext.py,production,2026-04-17,0,keep
dxf_ground_truth.py,production,2026-04-17,0,keep
dxf_ground_truth_report.json,orphan-output,2026-04-17,0,gitignore
dxf_visualizer.py,production,2026-04-17,3,keep
equipment_counter.py,production,2026-05-09,13,keep
equipment_gui.py,unknown,2026-03-18,0,needs-decision
extract_docx.py,unknown,2026-04-17,0,needs-decision
extract_docx_full.py,unknown,2026-04-17,0,needs-decision
generate_test_report.py,one-off-scratch,untracked,0,move-to-experiments
height_mapping.py,production,2026-05-09,3,keep
legend_parse_stats.json,orphan-output,2026-05-09,0,gitignore
legend_validator.py,production,2026-04-17,1,keep
mass_test.py,production,2026-04-03,0,keep
mass_test_report.xlsx,orphan-output,2026-04-03,0,gitignore
output_gpk_t040.docx,orphan-output,2026-04-03,0,gitignore
output_gpk_t041.docx,orphan-output,2026-04-03,0,gitignore
output_gpk_t042.docx,orphan-output,2026-04-03,0,gitignore
output_gpk_t043.docx,orphan-output,2026-04-03,0,gitignore
output_test_t040.docx,orphan-output,2026-04-03,0,gitignore
output_test_t041.docx,orphan-output,2026-04-03,0,gitignore
output_test_t042.docx,orphan-output,2026-04-03,0,gitignore
output_test_t043.docx,orphan-output,2026-04-03,0,gitignore
parse_vor_improved.py,production,2026-04-17,0,keep
pdf_cable_annotations.py,production,2026-05-09,1,keep
pdf_cable_annotations_v2.py,production,2026-05-09,2,keep
pdf_cable_height.py,production,2026-05-09,2,keep
pdf_cables_by_method.py,production,2026-05-09,4,keep
pdf_color_layers.py,production,2026-04-17,1,keep
pdf_count_cables.py,production,2026-04-22,5,keep
pdf_count_geometry.py,production,2026-04-17,2,keep
pdf_count_text.py,production,2026-04-22,6,keep
pdf_count_visual.py,production,2026-04-22,9,keep
pdf_legend_parser.py,production,2026-04-22,66,keep
pdf_overlay.py,production,2026-04-17,1,keep
run_T122_gpk3_count_only.py,one-off-scratch,untracked,0,move-to-experiments
run_web.py,production,2026-05-09,2,keep
run_web_v2.py,production,2026-05-09,0,keep
run_web_with_height.py,production,2026-05-09,0,keep
s002_result.json,orphan-output,2026-04-22,0,gitignore
s003_result_baseline.json,orphan-output,2026-05-09,0,gitignore
temp_elev_analysis.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_elev_analysis2.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_elev_search.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_frhf_analysis.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_run_elevations.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_script.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_spec_table.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_trace.py,one-off-scratch,2026-04-17,0,move-to-experiments
temp_vor_extract.py,one-off-scratch,2026-04-17,0,move-to-experiments
template_library.py,production,2026-05-09,2,keep
test_cable_derivation.py,test-suite,2026-04-22,0,keep
test_content_based_legend_search.py,test-suite,2026-04-22,0,keep
test_find_table_bounds.py,test-suite,2026-04-22,0,keep
test_generate_vor_gpk3.py,test-suite,untracked,0,keep
test_gpk3_vor.py,test-suite,untracked,0,keep
test_legend_aggregation.py,test-suite,2026-04-22,0,keep
test_legend_symbol_density.py,test-suite,2026-04-22,0,keep
test_output_sklad27_tray.docx,orphan-output,2026-04-04,0,gitignore
test_parse_legend_multipage.py,test-suite,2026-04-22,0,keep
test_reversed_text.py,test-suite,2026-04-22,0,keep
test_sklad27_cables.docx,orphan-output,2026-04-04,0,gitignore
test_sklad27_debug.docx,orphan-output,2026-04-04,0,gitignore
test_spec_table_as_legend.py,test-suite,2026-04-22,0,keep
test_t011_normalize_preservation.py,test-suite,2026-04-22,0,keep
test_vor_accuracy.py,test-suite,2026-04-17,0,keep
test_vor_cross_format.py,test-suite,2026-04-22,2,keep
test_vor_cross_format_report.json,orphan-output,2026-05-09,0,gitignore
test_vor_cross_format_report_T010_baseline.json,orphan-output,2026-04-22,0,gitignore
test_vor_mapping_s003.py,test-suite,2026-04-22,0,keep
test_vor_report.json,orphan-output,2026-04-17,0,gitignore
test_vor_report_s017.json,orphan-output,2026-04-17,0,gitignore
test_vor_report_s018.json,orphan-output,2026-04-17,0,gitignore
test_vor_report_s019.json,orphan-output,2026-04-17,0,gitignore
vor_cable_corrections.py,production,2026-05-09,1,keep
vor_compare_excel.py,production,2026-05-09,0,keep
vor_docx_renderer.py,production,2026-05-09,3,keep
vor_elevation_grouper.py,production,2026-05-09,4,keep
vor_export_patch.py,production,2026-05-09,4,keep
vor_generator.py,production,2026-04-17,4,keep
vor_height_fix.py,production,2026-05-09,0,keep
vor_height_injector.py,production,2026-05-09,4,keep
vor_inject_middleware.py,production,2026-05-09,1,keep
vor_measure_wrapper.py,production,2026-05-09,0,keep
vor_postprocess.py,production,2026-05-09,0,keep
vor_work_mapping.py,production,2026-04-22,4,keep
web_app.py,production,2026-04-17,7,keep
